evidence_id,evidence_class,period,mode,strategy,closed_trades,pnl_jpy,pnl_semantics,profit_factor,max_drawdown_jpy,decision,source_path,limitation
LIVE-2026-05,operations,2026-05-21..2026-05-29,live,legacy_intraday_hybrid,123,46766,reported_realized,1.34,69230,context_only,docs/handoff/2026-05-performance-review.md,"Short period; AI path effectively silent; one day lost 45540 JPY"
PAPER-2026-05,operations,2026-05-19..2026-05-21,paper,legacy_intraday_hybrid,192,68100,reported_realized,1.12,,fail_gate,docs/handoff/2026-05-performance-review.md,"PF below project threshold; short observation period"
PAPER-2026-06-OBS,operations,2026-06-16..2026-06-23,paper,legacy_intraday_rule,46,-41300,gross_execution,,,rejected,docs/handoff/2026-06-23-strategy-reset.md,"Four selected observation days; strategy family removed from candidate status"
REPLAY-REL-MOM-2026-06-24,replay,2026-06-24,paper_replay,relative_momentum_300bps,,-5713.332,cost_adjusted,0,,rejected,docs/handoff/2026-06-24-relative-momentum-failure.md,"Single-day OOS replay also had weak feature-level forward returns"
SWING-V1-CONSERVATIVE,research,2021-06-25..2026-06-24,backtest,daily_trend_pullback_fixed10_hash_v1_operational,293,109938.707,cost_adjusted,1.2264,98959.395,rejected,docs/features/swing-rebuild-plan.md,"Research and block-stability gates fail; selected random percentile 0.635"
SWING-V1-OPEN-EXIT,research,2021-06-25..2026-06-24,backtest,daily_trend_pullback_fixed10_hash_v1_operational,324,257750.440,cost_adjusted,1.5589,67697.220,research_only,docs/features/swing-rebuild-plan.md,"Formal research gate fails and best matched-random net PnL is higher"
EVENT-CLUSTER-V1-1M,research,locked_oos,backtest,event_cluster_earnings_dividend_value_guard_fixed20_stop_v1_research,,,cost_adjusted,2.036,41194,paper_observation_only,docs/features/event-cluster-paper-observation-plan.md,"Low frequency; 1M matched-random percentile 0.737 is below 0.75 target; operational reproduction pending"
PAPER-2026-07-09,operations,2026-07-09,paper,relative_momentum,2,-1300,gross_execution,,,observation_only,docs/handoff/2026-07-09-swing-paper-plan.md,"Rejected day strategy; not swing evidence; costs not stored in trades_paper"
PAPER-2026-07-10,operations,2026-07-10,paper,relative_momentum,4,2800,gross_execution,,,observation_only,docs/reports/paper-observation-2026-07-10.md,"Rejected day strategy; not swing evidence; costs not stored in trades_paper"
EVENT-PAPER-2026-07-08-09,operations,2026-07-09..2026-07-10,paper,event_cluster_earnings_dividend_value_guard_fixed20_stop_v1_research,0,0,no_trades,,,inconclusive_detection,docs/handoff/2026-07-09-swing-paper-plan.md,"Legacy detector required T+1 OHLCV; reported zero candidates are unreliable and inconclusive because of structural false-zero risk; no candidate-absence or profitability evidence"
